암호화된요양기호,요양기관명,요양종별,시도명,시군구명,도로명주소,표시과목명,개설일자
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQ4MiQyNjEyMjIjNjEjJDEjJDQjJDgz,(사)대한산업보건협회 부설 한마음의원,의원,경기도,군포시,"경기도 군포시 산본로48번길 8, 3층 (당정동)",일반의,2022-03-17
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzExIyQxIyQzIyQ5MiQyNjE0ODEjNTEjJDEjJDIjJDgz,(사)인구보건복지협회경기도지회가족보건의원,의원,경기도,수원시 팔달구,경기도 수원시 팔달구 고화로14번길 11 (매산로3가),일반의,1974-03-08
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQ3MiQyNjE4MzIjNzEjJDEjJDgjJDgz,(사)한국건강관리협회건강증진의원,의원,경기도,수원시 장안구,경기도 수원시 장안구 경수대로 857 (조원동),일반의,1983-04-25
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQzIyQ5OSQzNjEyMjIjNTEjJDEjJDYjJDgz,(의) 열린의료재단 성남열린의원,의원,경기도,성남시 수정구,"경기도 성남시 수정구 수정로 185, 6층 (태평동)",일반의,2008-03-04
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQxIyQxMyQzNjEyMjIjNjEjJDEjJDQjJDgz,(의) 열린의료재단 안산열린의원,의원,경기도,안산시 상록구,"경기도 안산시 상록구 용신로 388 (본오동, 유니온프라자 501~505호)",일반의,2010-02-24
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNTEjJDEjJDYjJDgz,(의) 열린의료재단 이천열린의원,의원,경기도,이천시,"경기도 이천시 이섭대천로 1440-8, 신세기타운 201,206호 (증포동)",일반의,2012-08-30
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQxMyQyNjE0ODEjNTEjJDEjJDIjJDgz,(의) 열린의료재단 참사랑의원,의원,경기도,수원시 팔달구,"경기도 수원시 팔달구 덕영대로 693, 풍성프라자 7층 (화서동)",일반의,2002-09-05
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ4OSQzNjEyMjIjNjEjJDEjJDgjJDgz,(의)수지의료재단 용인수지병원,병원,경기도,용인시 수지구,"경기도 용인시 수지구 풍덕천로22번길 15, 지하1,지상2~6층 (풍덕천동)",일반의,2016-12-12
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzMxIyQxIyQzIyQ3OSQ0NjEwMDIjNDEjJDEjJDQjJDgz,(의)열린의료재단 분당열린의원,의원,경기도,성남시 분당구,"경기도 성남시 분당구 분당로53번길 22, 4층 (서현동, 블루홀빌딩)",일반의,1998-08-05
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQxIyQ4OSQzNjE4MzIjNTEjJDEjJDIjJDgz,(의)열린의료재단광주열린의원,의원,경기도,광주시,"경기도 광주시 광주대로 31, 7층 705~709호 (경안동)",일반의,2010-11-01
