ym,value
202302,7317448
202303,10012619
202304,11632826
202305,9193932
202306,6589652
202307,8402813
202308,6127403
202309,8657840
202310,9802489
202311,11300224
202312,11926527
202401,8821538
202402,7755099
202403,9376983
202404,9058493
202405,7787767
202406,5679566
202407,6958218
202408,6043736
202409,6632372
202410,8285615
202411,9018908
202412,10362553
202501,8291453
202502,5985159
202503,8540337
202504,8523573
202505,6635129
202506,4492922
202507,4691778
202508,3721788
202509,5998019
202510,6365490
202511,9304757
202512,8039083
