ym,value
202302,2084513
202303,2720867
202304,3190317
202305,2876482
202306,2234508
202307,2499263
202308,2159681
202309,2511982
202310,2950790
202311,3324242
202312,3769505
202401,3101679
202402,2584038
202403,2817045
202404,2827182
202405,2624222
202406,2093814
202407,2457702
202408,2502544
202409,2301982
202410,2622570
202411,2727715
202412,3332492
202501,2998397
202502,2075324
202503,2478325
202504,2518050
202505,2198502
202506,1745576
202507,1775323
202508,1634095
202509,2213611
202510,2197385
202511,2776762
202512,2598975
