ym,value
202302,4312069
202303,5388517
202304,6075594
202305,5763160
202306,4827259
202307,5140966
202308,4790067
202309,5558748
202310,6150257
202311,6432310
202312,6970940
202401,6133112
202402,5363392
202403,5861028
202404,6204314
202405,5825289
202406,4917284
202407,5483960
202408,5680414
202409,5447303
202410,5943116
202411,6002303
202412,6853753
202501,6395367
202502,5048726
202503,5877377
202504,6145290
202505,5672515
202506,4675142
202507,4891022
202508,4591454
202509,5990499
202510,5649167
202511,6415788
202512,6231253
