ym,value
202302,165422
202303,175521
202304,166116
202305,185705
202306,166500
202307,180718
202308,175182
202309,158377
202310,169436
202311,170711
202312,155136
202401,187643
202402,167310
202403,165255
202404,181428
202405,179355
202406,164504
202407,189951
202408,169808
202409,165235
202410,176748
202411,168934
202412,163030
202501,173757
202502,163952
202503,170634
202504,176474
202505,173928
202506,166402
202507,185011
202508,176585
202509,183160
202510,166476
202511,162265
202512,168364
