ym,value
202302,3371364
202303,3798000
202304,3551337
202305,3819290
202306,3717715
202307,3677698
202308,3775471
202309,3610522
202310,3783054
202311,3730411
202312,3698829
202401,3909831
202402,3597748
202403,3709464
202404,3890618
202405,3991075
202406,3693271
202407,4000502
202408,3901080
202409,3758431
202410,3949693
202411,3802143
202412,3956680
202501,3757232
202502,3659814
202503,3830515
202504,3984657
202505,3995292
202506,3810661
202507,4059946
202508,3864637
202509,4184604
202510,3868644
202511,3763571
202512,4026030
