ym,value
202302,300122
202303,326209
202304,308823
202305,341526
202306,323535
202307,323574
202308,330172
202309,311236
202310,401407
202311,396778
202312,339983
202401,367082
202402,308434
202403,324905
202404,332539
202405,331045
202406,303007
202407,331470
202408,328650
202409,297598
202410,315207
202411,314143
202412,353388
202501,348650
202502,300857
202503,316913
202504,336350
202505,322814
202506,305588
202507,329054
202508,316861
202509,341206
202510,315788
202511,324355
202512,335409
