ym,value
202302,3710821
202303,4798899
202304,5798970
202305,6328453
202306,5108232
202307,5773481
202308,5334423
202309,5130997
202310,5775074
202311,6579316
202312,7801733
202401,6619759
202402,5184286
202403,5360519
202404,5244481
202405,5158365
202406,4653008
202407,5790598
202408,6685336
202409,4946781
202410,5019917
202411,5294442
202412,7676342
202501,7769864
202502,4563638
202503,5371539
202504,5573945
202505,4860673
202506,4164169
202507,4556065
202508,4539903
202509,5520471
202510,5241945
202511,7039931
202512,6065383
