ym,value
202302,2322958
202303,2560109
202304,2385701
202305,2577498
202306,2547510
202307,2520226
202308,2624818
202309,2517758
202310,2606745
202311,2574545
202312,2526298
202401,2678134
202402,2517531
202403,2610765
202404,2792828
202405,2824217
202406,2620039
202407,2964135
202408,2815160
202409,2740153
202410,2920764
202411,2785697
202412,2886195
202501,2696909
202502,2753499
202503,2826906
202504,3029391
202505,2976937
202506,2919214
202507,3168357
202508,2973850
202509,3273817
202510,2958671
202511,2860237
202512,3171799
