ym,value
201802,6716952
201803,8361646
201804,8202013
201805,6753346
201806,5324383
201807,4915515
201808,3994618
201809,7189679
201810,8053258
201811,9316051
201812,9950287
201901,6679485
201902,6192900
201903,8503306
201904,9064079
201905,7724322
201906,5341534
201907,4942571
201908,4196123
201909,6982042
201910,8182844
201911,8686329
201912,9316423
202001,7325640
202002,4633449
202003,2393060
202004,1908750
202005,3533505
202006,3053740
202007,3340531
202008,2336594
202009,2360946
202010,3751535
202011,5937852
202012,3046271
202101,1570931
202102,1893576
202103,5261252
202104,5651328
202105,4386193
202106,3258049
202107,2232442
202108,1247422
202109,3565814
202110,4852546
202111,7102015
202112,5009300
202201,5027300
202202,4402392
202203,5618383
202204,6180566
202205,6283639
202206,4982534
202207,5789667
202208,4490043
202209,6492657
202210,7938234
202211,8243342
202212,10206037
202301,7126584
202302,7317448
202303,10012619
202304,11632826
202305,9193932
202306,6589652
202307,8402813
202308,6127403
202309,8657840
202310,9802489
202311,11300224
202312,11926527
202401,8821538
202402,7755099
202403,9376983
202404,9058493
202405,7787767
202406,5679566
202407,6958218
202408,6043736
202409,6632372
202410,8285615
202411,9018908
202412,10362553
202501,8291453
202502,5985159
202503,8540337
202504,8523573
202505,6635129
202506,4492922
202507,4691778
202508,3721788
202509,5998019
202510,6365490
202511,9304757
202512,8039083
