ym,value
202302,2184466
202303,3088485
202304,4145773
202305,3958254
202306,2863015
202307,3575494
202308,2738173
202309,3301258
202310,4026104
202311,5155217
202312,6164373
202401,4674472
202402,3626250
202403,3726133
202404,3747455
202405,3378782
202406,2650489
202407,3501400
202408,3620580
202409,3194330
202410,3556288
202411,3876438
202412,4790868
202501,3851363
202502,2158355
202503,2961791
202504,3075143
202505,2515581
202506,1830061
202507,1878351
202508,1598322
202509,2307570
202510,2417012
202511,3743824
202512,3146100
