ym,value
201802,2987703
201803,3393707
201804,3878327
201805,3508510
201806,2605385
201807,2110462
201808,1784011
201809,2660957
201810,3160551
201811,4050806
201812,4982397
201901,3132103
201902,2458113
201903,3191235
201904,3715957
201905,3240739
201906,2352911
201907,2067460
201908,1721086
201909,2542180
201910,3254710
201911,3491330
201912,4111050
202001,3558230
202002,2221776
202003,1381272
202004,1028350
202005,1186637
202006,1079692
202007,1151690
202008,910253
202009,945561
202010,1141186
202011,1639062
202012,1145417
202101,847311
202102,825057
202103,1389106
202104,1534599
202105,1294387
202106,1079321
202107,785064
202108,594164
202109,948957
202110,1349498
202111,2189629
202112,1531717
202201,1572843
202202,1913010
202203,3779007
202204,2498498
202205,1649936
202206,1605359
202207,1947098
202208,1998296
202209,2275950
202210,2661886
202211,2974568
202212,3799090
202301,2567485
202302,2184466
202303,3088485
202304,4145773
202305,3958254
202306,2863015
202307,3575494
202308,2738173
202309,3301258
202310,4026104
202311,5155217
202312,6164373
202401,4674472
202402,3626250
202403,3726133
202404,3747455
202405,3378782
202406,2650489
202407,3501400
202408,3620580
202409,3194330
202410,3556288
202411,3876438
202412,4790868
202501,3851363
202502,2158355
202503,2961791
202504,3075143
202505,2515581
202506,1830061
202507,1878351
202508,1598322
202509,2307570
202510,2417012
202511,3743824
202512,3146100
