ym,value
202302,6356988
202303,8418361
202304,10110335
202305,9524383
202306,7327185
202307,8363097
202308,7272819
202309,8035699
202310,9625485
202311,11527082
202312,13303100
202401,11166395
202402,9180042
202403,9656404
202404,9682912
202405,9082036
202406,7365034
202407,8902825
202408,9627699
202409,8269315
202410,9287695
202411,10166095
202412,12651821
202501,12181232
202502,7618213
202503,9260400
202504,9559323
202505,7963153
202506,6102406
202507,6210704
202508,5705099
202509,7677601
202510,7706377
202511,10652669
202512,9998884
