ym,value
202302,87239
202303,101046
202304,98055
202305,113146
202306,100011
202307,91854
202308,101421
202309,81262
202310,100586
202311,112977
202312,124655
202401,121521
202402,102033
202403,89669
202404,97051
202405,99748
202406,91481
202407,95129
202408,98383
202409,92343
202410,85989
202411,91348
202412,109462
202501,116877
202502,95388
202503,94421
202504,97655
202505,85886
202506,81648
202507,84890
202508,78328
202509,92846
202510,77977
202511,89144
202512,102951
