ym,value
201802,4116513
201803,4988606
201804,6040888
201805,5428669
201806,3898838
201807,3207788
201808,2718800
201809,4478468
201810,5477423
201811,7107811
201812,8543990
201901,4791519
201902,3850591
201903,5496597
201904,6798691
201905,5712939
201906,3923149
201907,3496843
201908,2977383
201909,4590074
201910,5704355
201911,6332885
201912,7726076
202001,6231851
202002,3395208
202003,1933800
202004,1327905
202005,1836030
202006,1617702
202007,1696371
202008,1277277
202009,1236861
202010,1777601
202011,2934586
202012,1592420
202101,919180
202102,973061
202103,2359060
202104,2808030
202105,2367208
202106,1863452
202107,1208864
202108,694489
202109,1539331
202110,2585597
202111,4565917
202112,2764527
202201,3011757
202202,3361238
202203,7212000
202204,5105209
202205,3520079
202206,3724871
202207,4254090
202208,4015288
202209,5290339
202210,6075239
202211,6460058
202212,8384771
202301,5590600
202302,4822129
202303,6925888
202304,9614698
202305,8122394
202306,5848865
202307,7717910
202308,5274963
202309,6735016
202310,8644995
202311,10790865
202312,12120044
202401,8694542
202402,6898722
202403,7586520
202404,7784173
202405,7216286
202406,5492402
202407,7433136
202408,6990606
202409,6381954
202410,7232478
202411,7815460
202412,9887126
202501,7735893
202502,4223887
202503,5945957
202504,6056274
202505,4624080
202506,3359273
202507,3518712
202508,2822512
202509,4256449
202510,4658807
202511,7717475
202512,6323964
