"ATC코드4단계의_시군구별(단위_개, 원)_201801_202512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,기간,2025년 12월,,2025년 11월,,2025년 10월,,2025년 09월,,2025년 08월,,2025년 07월,,2025년 06월,,2025년 05월,,2025년 04월,,2025년 03월,,2025년 02월,,2025년 01월,,2024년 12월,,2024년 11월,,2024년 10월,,2024년 09월,,2024년 08월,,2024년 07월,,2024년 06월,,2024년 05월,,2024년 04월,,2024년 03월,,2024년 02월,,2024년 01월,,2023년 12월,,2023년 11월,,2023년 10월,,2023년 09월,,2023년 08월,,2023년 07월,,2023년 06월,,2023년 05월,,2023년 04월,,2023년 03월,,2023년 02월,,2023년 01월,,2022년 12월,,2022년 11월,,2022년 10월,,2022년 09월,,2022년 08월,,2022년 07월,,2022년 06월,,2022년 05월,,2022년 04월,,2022년 03월,,2022년 02월,,2022년 01월,,2021년 12월,,2021년 11월,,2021년 10월,,2021년 09월,,2021년 08월,,2021년 07월,,2021년 06월,,2021년 05월,,2021년 04월,,2021년 03월,,2021년 02월,,2021년 01월,,2020년 12월,,2020년 11월,,2020년 10월,,2020년 09월,,2020년 08월,,2020년 07월,,2020년 06월,,2020년 05월,,2020년 04월,,2020년 03월,,2020년 02월,,2020년 01월,,2019년 12월,,2019년 11월,,2019년 10월,,2019년 09월,,2019년 08월,,2019년 07월,,2019년 06월,,2019년 05월,,2019년 04월,,2019년 03월,,2019년 02월,,2019년 01월,,2018년 12월,,2018년 11월,,2018년 10월,,2018년 09월,,2018년 08월,,2018년 07월,,2018년 06월,,2018년 05월,,2018년 04월,,2018년 03월,,2018년 02월,,2018년 01월,
ATC코드,ATC코드명,시도명칭,시군구명칭,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액,수량,금액
계,,, ,"6,323,964","367,632,779","7,717,475","421,620,530","4,658,807","263,551,374","4,256,449","248,999,015","2,822,512","173,033,275","3,518,712","195,743,598","3,359,273","197,204,694","4,624,080","271,510,051","6,056,274","346,003,723","5,945,957","335,417,161","4,223,887","261,851,538","7,735,893","520,152,701","9,887,126","562,796,510","7,815,460","415,865,891","7,232,478","406,385,442","6,381,954","361,247,563","6,990,606","441,555,183","7,433,136","412,454,947","5,492,402","322,767,843","7,216,286","415,852,915","7,784,173","439,485,414","7,586,520","430,391,582","6,898,722","420,388,377","8,694,542","561,501,472","12,120,044","745,499,939","10,790,865","607,909,977","8,644,995","478,133,771","6,735,016","357,568,176","5,274,963","315,739,642","7,717,910","394,800,340","5,848,865","342,083,357","8,122,394","471,288,661","9,614,698","499,030,402","6,925,888","360,884,658","4,822,129","258,625,610","5,590,600","346,543,783","8,384,771","497,889,841","6,460,058","367,834,880","6,075,239","317,541,922","5,290,339","291,348,942","4,015,288","283,401,579","4,254,090","226,031,516","3,724,871","170,423,035","3,520,079","195,734,266","5,105,209","385,009,503","7,212,000","595,098,448","3,361,238","226,353,294","3,011,757","158,128,615","2,764,527","160,267,430","4,565,917","227,297,769","2,585,597","129,846,414","1,539,331","91,926,589","694,489","60,027,860","1,208,864","74,127,065","1,863,452","101,142,125","2,367,208","123,194,751","2,808,030","144,534,055","2,359,060","122,861,702","973,061","73,287,687","919,180","76,589,478","1,592,420","108,637,036","2,934,586","149,911,747","1,777,601","109,017,330","1,236,861","95,635,997","1,277,277","80,734,395","1,696,371","97,910,903","1,617,702","97,168,769","1,836,030","107,097,969","1,327,905","98,379,792","1,933,800","146,262,774","3,395,208","230,070,235","6,231,851","411,503,129","7,726,076","429,516,160","6,332,885","341,100,221","5,704,355","307,746,570","4,590,074","239,246,709","2,977,383","157,447,127","3,496,843","182,994,965","3,923,149","210,724,249","5,712,939","311,736,365","6,798,691","375,172,058","5,496,597","297,958,726","3,850,591","221,423,724","4,791,519","302,379,322","8,543,990","485,413,459","7,107,811","381,465,748","5,477,423","290,641,503","4,478,468","225,705,890","2,718,800","139,805,325","3,207,788","160,542,667","3,898,838","212,890,072","5,428,669","299,191,016","6,040,888","323,481,206","4,988,606","273,160,169","4,116,513","254,853,721","5,392,128","411,767,396"
R05DB,Other cough suppressants,인천,인천강화군,"29,308","3,171,850","23,983","2,641,289","14,501","1,711,304","15,877","1,776,768","12,644","1,460,224","12,989","1,323,975","12,496","1,281,628","16,964","1,769,399","20,668","2,180,617","24,482","2,162,880","20,569","2,322,127","46,320","5,018,349","40,038","3,662,504","34,293","2,612,464","30,670","2,637,712","28,091","2,375,293","30,075","3,200,589","29,607","2,547,209","17,887","2,026,198","21,435","2,276,226","25,722","2,552,407","24,486","2,526,513","22,731","2,591,143","36,504","4,054,377","45,732","4,511,276","50,859","4,506,350","44,585","3,687,042","41,523","2,698,363","24,383","2,750,245","24,526","2,433,889","16,839","2,139,969","24,162","2,947,582","31,093","3,452,928","18,168","2,239,484","13,196","1,746,734","23,786","3,088,652","37,896","4,685,578","25,132","2,919,576","19,634","2,147,416","21,580","2,433,432","21,078","2,688,619","15,249","1,540,347","11,155","884,696","15,412","1,636,215","38,041","4,428,246","66,699","7,583,457","17,792","2,311,223","13,414","1,307,920","19,208","1,904,614","21,735","2,040,048","8,448","885,364","6,349","684,033","4,932","601,568","15,857","863,616","14,423","911,427","24,659","1,258,827","31,292","1,347,724","11,332","910,090","5,279","596,165","6,211","702,448","13,965","1,119,842","19,387","1,269,595","7,635","800,246","9,949","900,251","10,353","794,443","14,546","945,671","16,486","1,018,502","9,138","1,003,987","9,155","1,108,205","12,557","1,518,439","18,725","2,315,529","32,922","4,323,259","26,958","3,110,615","26,032","2,616,087","24,222","2,489,219","16,716","1,745,598","15,378","1,680,103","25,622","1,888,721","26,196","2,005,579","44,641","3,617,045","50,211","4,210,475","31,751","2,995,030","25,213","2,422,753","37,689","3,808,479","68,053","5,985,318","35,664","3,066,894","20,712","2,031,628","14,570","1,204,754","14,364","1,055,232","15,586","993,196","15,422","1,647,726","27,010","2,593,716","30,685","2,482,605","29,834","2,530,163","30,542","2,837,863","42,921","5,569,915"
R05DB,Other cough suppressants,인천,인천계양구,"431,117","31,971,453","478,402","33,408,728","301,060","22,056,155","283,560","21,737,305","199,368","15,668,142","231,285","16,859,291","217,414","16,396,846","308,800","23,898,075","395,791","29,714,501","420,328","29,740,402","323,675","24,949,673","619,975","48,428,614","708,861","47,591,178","551,640","35,917,283","500,353","33,518,523","440,427","30,917,229","509,765","39,877,138","566,670","36,833,572","390,744","28,032,253","539,670","37,123,136","604,670","41,284,641","544,682","39,057,288","540,514","41,131,405","701,890","55,116,124","975,295","74,745,197","811,527","55,618,232","639,947","43,786,504","547,902","36,177,203","406,180","31,248,195","546,628","36,339,611","438,131","32,693,093","591,366","44,009,507","654,667","45,747,165","477,136","35,325,448","397,581","28,735,512","438,673","36,424,973","649,662","50,866,385","511,660","37,294,872","466,414","31,000,390","416,691","28,842,620","340,805","30,509,386","344,152","22,784,653","277,573","15,731,624","255,957","19,155,840","398,500","37,568,088","606,055","60,014,213","258,581","22,962,743","213,827","15,517,493","194,635","15,785,471","330,770","21,614,315","153,700","10,770,008","95,160","7,938,296","50,835","5,260,575","81,044","6,617,027","123,936","8,754,563","157,097","11,192,276","211,192","13,777,487","147,755","10,590,637","73,574","6,746,883","75,466","7,290,028","132,030","10,563,987","216,310","14,377,788","132,385","10,448,860","97,653","9,041,828","96,871","7,474,130","135,929","9,613,713","102,716","8,016,731","125,696","9,514,125","100,539","9,047,334","160,628","14,358,171","281,461","22,546,639","485,131","39,410,647","590,159","41,900,249","510,726","33,617,741","485,408","30,718,939","393,489","24,864,124","242,521","15,051,881","281,955","17,719,544","318,713","21,090,404","472,108","32,786,265","544,098","37,635,428","444,231","30,192,427","315,480","23,442,586","457,607","33,885,622","797,848","53,624,232","673,240","42,712,953","513,382","32,576,935","416,070","25,879,878","252,727","14,841,611","295,521","17,119,960","375,096","24,236,576","509,020","34,421,722","582,939","36,788,273","490,550","31,334,554","436,953","30,090,247","553,248","47,361,908"
R05DB,Other cough suppressants,인천,인천남동구,"875,992","54,360,582","1,106,088","65,300,401","679,156","41,562,977","624,960","39,443,633","431,059","26,710,715","508,944","30,376,965","492,773","30,551,521","659,510","41,761,463","844,074","53,143,462","852,599","52,931,642","604,207","40,945,978","1,112,411","80,392,811","1,309,429","84,692,454","1,078,994","63,039,547","1,005,226","62,086,646","846,475","52,988,581","919,377","64,126,444","973,604","60,142,118","752,551","48,450,413","980,223","62,132,771","1,104,591","66,113,699","1,027,308","64,660,926","1,021,713","68,633,349","1,269,766","89,647,029","1,818,997","118,572,049","1,602,362","94,060,184","1,381,941","77,670,122","1,102,199","58,294,278","821,223","47,743,009","1,231,774","63,466,706","904,188","54,397,689","1,223,838","74,878,436","1,454,413","78,638,643","1,073,850","57,116,621","724,941","40,025,833","866,722","53,969,652","1,359,197","80,680,028","1,048,045","59,105,092","988,196","50,888,363","869,629","46,385,393","613,305","42,058,039","705,971","36,893,643","606,293","28,550,208","610,764","33,315,501","870,924","61,188,993","1,203,841","102,073,449","615,390","41,291,584","530,277","27,548,645","464,409","27,008,403","807,843","39,758,090","464,091","22,959,320","315,528","17,977,283","134,944","10,963,702","233,632","13,877,208","334,149","17,999,702","431,125","22,415,447","494,978","26,137,771","460,133","23,822,540","190,898","13,606,344","165,311","13,582,699","282,888","19,769,315","495,561","26,443,730","335,229","20,159,781","233,139","17,921,191","229,688","14,566,150","318,025","18,205,696","321,003","19,116,774","365,481","20,940,560","260,022","18,888,754","385,419","28,925,208","659,047","44,816,986","1,121,676","78,261,746","1,402,754","81,016,945","1,149,587","65,127,867","1,025,613","58,688,118","858,584","46,468,280","564,159","30,888,307","644,974","35,045,489","745,994","40,090,471","1,031,373","57,631,946","1,236,692","71,159,110","1,005,468","56,825,910","755,839","43,655,029","872,185","56,562,525","1,536,247","88,591,174","1,336,403","73,805,313","1,058,758","56,781,770","844,630","42,831,223","525,680","27,467,071","632,853","31,813,324","752,375","42,162,732","1,046,728","59,722,995","1,135,712","63,620,305","926,001","51,588,669","751,817","47,881,066","974,615","77,543,500"
R05DB,Other cough suppressants,인천,인천동구,"99,199","5,883,872","120,919","6,383,500","74,042","4,593,412","64,660","4,289,205","40,947","2,919,068","47,323","2,608,028","42,626","2,671,253","64,718","3,919,951","87,918","4,913,354","87,202","4,783,965","55,758","3,739,660","117,503","7,839,355","152,105","7,698,087","129,259","5,992,290","100,486","5,562,292","86,156","4,787,587","102,690","6,183,101","104,689","5,674,492","73,394","4,439,698","89,297","5,457,180","96,642","5,783,315","104,588","6,064,519","97,245","6,267,616","115,343","8,193,538","140,163","9,051,643","136,602","8,188,796","103,535","6,023,211","73,735","4,480,275","58,872","4,468,238","92,304","5,749,590","70,214","5,351,337","105,297","7,503,320","126,240","7,507,910","93,531","5,896,048","68,652","4,672,317","84,658","6,389,420","104,950","7,460,346","89,377","6,030,049","83,838","5,187,975","59,188","4,484,568","51,177","4,563,499","47,200","3,132,727","44,735","2,707,494","46,701","3,459,842","92,743","8,864,739","136,729","14,192,803","63,335","5,719,975","41,612","3,468,282","54,306","4,990,217","78,394","5,544,428","39,873","2,857,918","24,927","2,567,400","15,574","1,846,073","24,945","2,290,120","32,502","2,681,361","36,172","2,883,777","51,756","3,746,013","41,112","3,422,789","22,260","2,600,827","21,190","2,506,747","31,298","3,379,044","48,142","3,801,347","30,156","3,091,109","26,397","3,075,506","21,845","2,318,799","28,326","2,571,407","27,521","2,625,888","28,610","2,876,312","26,760","3,057,499","38,881","4,348,333","56,791","6,195,267","93,253","9,919,676","101,501","9,079,769","83,361","7,268,805","73,111","6,412,772","55,649","5,152,106","36,370","3,569,931","42,570","4,247,367","48,218","4,583,856","76,119","7,059,236","87,973","7,860,076","78,367","7,044,491","60,419","5,562,703","82,400","7,268,805","151,893","10,536,157","124,105","8,721,026","95,790","7,014,308","79,807","5,220,660","45,038","3,363,244","47,237","3,684,040","52,682","4,471,146","80,754","6,197,701","94,090","5,958,201","83,323","5,357,829","74,098","5,951,628","111,739","9,031,272"
R05DB,Other cough suppressants,인천,인천미추홀구,"743,755","40,207,688","946,772","47,727,251","526,212","29,424,761","519,434","29,544,199","347,788","21,023,235","431,851","24,226,707","431,866","25,612,647","598,136","33,922,821","785,361","42,722,312","730,363","41,617,335","549,794","34,025,538","928,067","61,088,065","1,226,313","67,965,075","987,896","53,279,792","866,551","48,901,779","755,588","43,130,995","848,478","52,807,835","912,593","50,310,370","724,539","42,268,057","954,243","53,886,667","999,101","57,686,452","943,020","55,188,084","872,196","55,419,480","1,067,080","70,908,562","1,501,993","90,511,789","1,283,563","73,911,377","986,735","55,592,158","797,168","42,348,574","667,690","39,604,609","977,880","48,269,873","724,439","41,377,888","1,055,575","59,313,776","1,355,070","64,641,221","971,279","49,693,460","685,829","36,120,974","855,092","49,038,330","1,251,043","67,686,766","974,945","52,988,567","895,526","46,248,699","769,604","40,550,386","647,623","41,583,355","580,580","31,170,986","517,669","24,777,113","497,837","29,058,632","663,967","54,354,275","1,142,771","87,403,715","515,415","35,791,939","433,888","25,612,232","400,928","26,038,377","685,280","35,394,498","374,318","21,107,745","213,143","15,082,334","116,664","11,472,080","184,500","12,851,865","274,507","17,335,641","336,034","19,073,624","424,482","23,019,675","361,862","20,530,868","171,988","13,584,535","158,986","13,924,851","263,914","19,112,427","427,841","23,791,927","274,323","18,353,001","210,171","17,315,553","189,875","13,293,851","242,073","16,399,164","231,626","15,970,812","266,579","17,237,284","216,463","17,072,613","298,800","24,010,067","543,673","36,228,036","961,604","60,494,948","1,094,710","61,442,644","897,276","48,339,666","806,717","43,025,420","619,351","32,535,036","404,614","21,999,272","499,301","26,551,116","573,882","30,242,537","783,683","42,075,707","919,296","50,215,001","806,913","42,605,243","552,955","31,406,608","668,093","42,308,239","1,185,101","66,864,557","955,334","51,292,643","742,214","39,214,721","577,296","28,063,800","370,968","18,010,461","426,139","20,599,685","517,811","26,338,312","750,653","38,020,904","808,055","41,168,302","628,968","33,923,752","545,690","31,864,183","746,367","52,043,859"
R05DB,Other cough suppressants,인천,인천부평구,"778,954","53,499,141","934,311","60,786,535","549,263","38,785,762","540,310","36,454,891","358,072","26,686,069","435,850","29,538,973","399,135","28,294,471","567,514","39,124,709","760,312","50,176,165","726,445","47,370,453","538,817","38,979,796","1,004,000","76,125,442","1,157,269","74,077,046","983,827","57,601,921","914,395","55,274,983","788,467","49,269,578","837,451","59,286,667","864,443","55,006,024","627,324","43,363,124","852,594","57,893,874","923,355","59,212,661","878,999","56,025,386","862,027","57,174,357","1,093,952","74,666,762","1,460,189","93,445,915","1,211,152","72,648,171","997,694","59,921,202","821,879","45,842,804","645,285","41,927,171","982,535","52,444,317","773,959","46,479,224","1,040,916","61,558,259","1,189,284","62,321,320","861,621","47,196,758","627,511","35,264,919","693,181","45,473,580","992,009","62,220,375","809,729","48,981,998","735,047","40,840,613","671,704","40,436,556","539,257","41,152,749","571,226","31,593,548","474,876","23,589,878","442,545","28,181,113","728,756","62,485,861","1,043,819","95,707,506","465,791","32,505,116","410,011","22,367,383","366,933","22,157,014","630,300","30,566,552","319,156","17,665,401","219,200","13,854,417","111,057","9,997,523","177,638","11,781,391","273,084","15,266,153","353,210","18,657,266","445,900","21,771,553","310,195","17,371,119","145,194","12,106,177","164,269","13,840,805","248,320","17,211,599","437,982","22,474,645","252,280","16,724,159","189,876","15,328,392","192,171","12,872,194","254,512","15,191,746","222,092","14,226,346","289,933","17,339,787","222,405","16,675,376","321,574","24,296,247","557,339","37,552,711","1,001,964","64,717,935","1,189,884","63,608,842","954,675","50,081,863","874,322","47,090,305","689,843","36,187,313","463,911","25,041,901","579,963","29,381,362","604,672","32,370,827","930,860","49,401,931","1,106,774","60,161,979","832,400","45,285,399","617,414","35,541,906","838,260","50,588,219","1,346,371","75,767,369","1,086,797","57,516,696","896,231","48,358,880","685,687","36,849,410","432,984","24,063,992","512,482","27,450,299","659,417","37,104,501","916,739","50,287,968","1,013,093","53,784,025","847,243","47,813,174","705,815","45,339,447","947,775","73,660,514"
R05DB,Other cough suppressants,인천,인천서구,"1,853,799","99,254,051","2,196,209","111,306,321","1,354,307","67,974,928","1,172,792","61,387,416","751,582","40,221,896","967,361","46,989,972","896,503","46,908,129","1,265,527","66,651,697","1,609,195","83,673,480","1,611,129","81,648,069","1,114,922","61,251,907","2,023,001","125,890,932","2,849,384","148,232,837","2,201,919","107,188,181","1,995,312","104,941,581","1,781,453","93,121,361","1,932,877","112,209,422","2,126,439","108,401,311","1,520,316","81,018,774","2,004,173","105,695,203","2,200,370","110,755,375","2,227,047","109,811,413","1,892,717","100,356,338","2,453,271","139,604,033","3,381,255","186,200,281","3,161,577","159,174,352","2,429,761","124,625,474","1,847,071","89,687,067","1,445,290","78,463,212","2,085,378","98,091,682","1,592,880","83,001,667","2,177,258","113,042,970","2,598,353","125,257,717","1,914,242","88,338,002","1,257,784","60,069,807","1,406,614","80,625,601","2,077,845","118,814,937","1,575,515","84,384,721","1,448,477","71,806,011","1,279,438","66,430,231","875,218","59,338,577","978,112","49,574,748","874,993","37,293,947","804,603","42,094,475","1,081,319","78,406,505","1,452,258","116,080,561","683,075","42,329,234","643,745","30,409,368","626,436","31,491,871","1,006,314","47,557,019","513,167","23,732,785","293,206","15,298,758","117,741","8,981,288","231,590","12,138,265","369,096","17,991,348","491,916","22,983,663","563,740","26,306,381","516,608","23,378,585","173,213","11,813,707","163,568","12,602,944","309,338","18,579,691","652,000","29,736,569","353,685","19,123,730","238,337","16,220,197","276,068","14,800,200","371,178","17,851,527","358,653","17,938,985","406,608","19,841,541","262,271","16,584,571","374,152","24,457,830","683,218","40,199,935","1,309,905","74,929,888","1,769,252","83,791,476","1,475,883","67,300,936","1,289,393","58,877,192","1,093,578","47,066,434","655,097","28,383,948","770,422","32,960,298","857,986","39,288,658","1,264,489","59,066,983","1,618,115","74,160,011","1,335,995","59,807,067","861,551","41,376,646","1,010,120","55,333,113","1,895,540","94,018,620","1,574,866","74,453,142","1,188,494","54,493,998","1,007,099","43,606,676","574,219","25,466,621","695,044","29,947,099","808,599","38,496,594","1,100,669","54,430,045","1,288,393","61,732,485","1,045,702","51,783,683","827,524","47,136,687","990,753","73,036,594"
R05DB,Other cough suppressants,인천,인천연수구,"1,134,252","55,431,622","1,473,543","68,081,267","892,864","40,600,338","802,783","38,639,659","522,717","25,827,368","686,691","30,475,912","672,357","31,838,615","881,606","42,438,933","1,227,134","58,329,290","1,187,607","55,248,463","776,711","38,361,256","1,445,335","81,674,260","1,932,047","94,120,905","1,485,004","66,840,177","1,448,790","68,795,670","1,321,427","62,746,043","1,424,732","75,539,986","1,420,481","67,060,607","1,069,771","52,157,719","1,394,041","67,888,238","1,456,977","71,326,382","1,451,893","72,551,016","1,276,141","65,684,115","1,531,882","87,048,632","2,107,446","123,078,424","1,993,516","105,540,877","1,603,039","80,091,505","1,200,391","58,941,858","944,797","50,891,355","1,398,800","64,829,646","1,047,349","56,834,400","1,536,602","81,393,880","1,736,578","83,771,659","1,208,589","55,783,768","861,104","39,383,011","973,564","53,622,016","1,527,540","80,489,138","1,179,170","58,965,872","1,204,623","54,378,326","979,775","47,547,439","761,782","48,267,891","831,505","38,134,741","758,787","27,696,353","695,609","29,510,112","976,834","60,448,477","1,266,521","89,096,580","627,853","33,342,358","620,698","24,047,329","540,932","22,622,368","856,083","34,898,290","598,288","22,268,531","311,042","12,728,704","101,031","6,086,045","210,703","8,920,686","366,071","14,059,417","457,256","17,901,072","480,757","20,104,805","442,968","17,046,093","150,789","7,779,485","125,566","7,676,434","250,955","12,674,887","559,707","21,425,641","330,753","14,205,987","179,484","10,314,643","204,688","9,496,796","268,030","11,647,695","271,074","12,298,819","280,567","12,663,635","177,018","10,269,967","267,768","16,083,056","474,479","27,844,975","991,021","56,196,638","1,271,998","62,873,138","1,015,704","48,615,575","931,365","44,613,137","695,427","32,698,389","482,534","22,069,994","516,690","24,612,145","604,622","29,050,066","895,174","44,084,005","999,856","51,125,376","766,511","38,041,677","531,253","26,454,216","643,203","36,297,131","1,259,036","66,160,652","1,097,651","52,456,100","781,197","36,195,773","695,918","30,762,033","388,248","17,390,768","452,646","19,844,343","570,296","27,281,901","786,356","38,124,397","868,209","42,009,563","758,324","35,398,559","592,841","31,313,430","785,604","51,838,992"
