ym,value
202302,2848633
202303,3611617
202304,4663830
202305,4821815
202306,3501118
202307,3500585
202308,3446258
202309,3169428
202310,4240664
202311,5398034
202312,6767468
202401,5335257
202402,4105069
202403,3839832
202404,3845172
202405,3722117
202406,2950268
202407,3519944
202408,4553387
202409,3192001
202410,3495585
202411,4013686
202412,5941816
202501,6947884
202502,3552146
202503,3777895
202504,3899882
202505,3256348
202506,2455416
202507,2312211
202508,2374809
202509,3098306
202510,3197670
202511,4324405
202512,4352233
