ym,value
201802,4227595
201803,3502216
201804,4053476
201805,4036431
201806,2911453
201807,2072040
201808,1846056
201809,2600502
201810,3686496
201811,4384733
201812,6011496
201901,4289607
201902,2950846
201903,3489843
201904,4265723
201905,3740342
201906,2552763
201907,2154809
201908,1899620
201909,2624819
201910,3460683
201911,3939539
201912,4860946
202001,5589436
202002,3387977
202003,2491988
202004,1704141
202005,1576252
202006,1440251
202007,1358407
202008,1217940
202009,1551449
202010,1547883
202011,1730792
202012,1776594
202101,1392345
202102,1275323
202103,1519692
202104,1567816
202105,1458067
202106,1284689
202107,1101577
202108,1087316
202109,1278525
202110,1511601
202111,2230406
202112,2158956
202201,2044073
202202,3485018
202203,8707283
202204,4959287
202205,2456751
202206,1677870
202207,2373727
202208,3742783
202209,3159894
202210,3097346
202211,3998792
202212,5707424
202301,4414044
202302,2848633
202303,3611617
202304,4663830
202305,4821815
202306,3501118
202307,3500585
202308,3446258
202309,3169428
202310,4240664
202311,5398034
202312,6767468
202401,5335257
202402,4105069
202403,3839832
202404,3845172
202405,3722117
202406,2950268
202407,3519944
202408,4553387
202409,3192001
202410,3495585
202411,4013686
202412,5941816
202501,6947884
202502,3552146
202503,3777895
202504,3899882
202505,3256348
202506,2455416
202507,2312211
202508,2374809
202509,3098306
202510,3197670
202511,4324405
202512,4352233
