ym,value
201802,1926032
201803,2073858
201804,2224960
201805,2292077
201806,1632148
201807,1468370
201808,1345242
201809,1903910
201810,2230202
201811,2429975
201812,2824558
201901,2074228
201902,1693255
201903,2046948
201904,2373017
201905,2200599
201906,1605200
201907,1553095
201908,1435205
201909,1952983
201910,2166537
201911,2360307
201912,2678622
202001,2536944
202002,1726345
202003,1435120
202004,1218975
202005,1439983
202006,1380707
202007,1385148
202008,1260635
202009,1471376
202010,1423220
202011,1603030
202012,1338632
202101,1056491
202102,1027219
202103,1416534
202104,1536824
202105,1383141
202106,1264599
202107,1138229
202108,1012055
202109,1380262
202110,1571975
202111,2021345
202112,1779225
202201,1830761
202202,1976831
202203,2480025
202204,1940037
202205,1673219
202206,1965583
202207,2079124
202208,2359721
202209,2446080
202210,2616393
202211,3222346
202212,2466982
202301,2084513
202302,2720867
202303,3190317
202304,2876482
202305,2234508
202306,2499263
202307,2159681
202308,2511982
202309,2950790
202310,3324242
202311,3769505
202312,3101679
202401,2584038
202402,2817045
202403,2827182
202404,2624222
202405,2093814
202406,2457702
202407,2502544
202408,2301982
202409,2622570
202410,2727715
202411,3332492
202412,2998397
202501,2075324
202502,2478325
202503,2518050
202504,2198502
202505,1745576
202506,1775323
202507,1634095
202508,2213611
202509,2197385
202510,2776762
202511,2598975
202512,
