ym,value
202302,2077594
202303,2596895
202304,2962500
202305,2579189
202306,2112535
202307,2410445
202308,2079279
202309,2725006
202310,2920290
202311,2978391
202312,3028561
202401,2524717
202402,2297832
202403,2658707
202404,2814090
202405,2557949
202406,2071710
202407,2347887
202408,2242196
202409,2416839
202410,2816065
202411,2777201
202412,2950241
202501,2461581
202502,2026705
202503,2531344
202504,2663471
202505,2393258
202506,1865176
202507,2013326
202508,1746759
202509,2415317
202510,2377990
202511,2670109
202512,2496685
