ym,value
201802,1716397
201803,2030406
201804,2110414
201805,1970256
201806,1656658
201807,1578710
201808,1464507
201809,2099452
201810,2287500
201811,2314211
201812,2351436
201901,1857675
201902,1664533
201903,2043640
201904,2179901
201905,2119965
201906,1571952
201907,1600604
201908,1562765
201909,2062597
201910,2285729
201911,2232982
201912,2306615
202001,1963048
202002,1498681
202003,1277984
202004,1214522
202005,1516360
202006,1444222
202007,1458624
202008,1312631
202009,1629172
202010,1642656
202011,1808203
202012,1444249
202101,1141912
202102,1117214
202103,1655924
202104,1860773
202105,1639197
202106,1453637
202107,1346781
202108,1198952
202109,1687882
202110,1790797
202111,1992268
202112,1660680
202201,1624236
202202,1495635
202203,1752496
202204,2009838
202205,2090832
202206,1758830
202207,1924544
202208,1792748
202209,2300662
202210,2402806
202211,2315524
202212,2612934
202301,2051503
202302,2077594
202303,2596895
202304,2962500
202305,2579189
202306,2112535
202307,2410445
202308,2079279
202309,2725006
202310,2920290
202311,2978391
202312,3028561
202401,2524717
202402,2297832
202403,2658707
202404,2814090
202405,2557949
202406,2071710
202407,2347887
202408,2242196
202409,2416839
202410,2816065
202411,2777201
202412,2950241
202501,2461581
202502,2026705
202503,2531344
202504,2663471
202505,2393258
202506,1865176
202507,2013326
202508,1746759
202509,2415317
202510,2377990
202511,2670109
202512,2496685
