ym,value
201802,2129222
201803,2800265
201804,3055642
201805,3010476
201806,2645822
201807,2530537
201808,2393413
201809,3048409
201810,3305795
201811,3428000
201812,3709320
201901,3198975
201902,2769639
201903,3271337
201904,3641239
201905,3766854
201906,2918866
201907,3002639
201908,2910793
201909,3593090
201910,3847980
201911,3946485
201912,4236794
202001,4114850
202002,3197747
202003,2864661
202004,2670414
202005,3058017
202006,2937661
202007,2960128
202008,2937957
202009,3613376
202010,3342724
202011,3477755
202012,3225664
202101,2686341
202102,2635134
202103,3431134
202104,3774271
202105,3466072
202106,3289364
202107,3220578
202108,2986244
202109,3767534
202110,3704545
202111,4040252
202112,3757700
202201,3663347
202202,3643626
202203,4915695
202204,4683080
202205,4325943
202206,3672186
202207,4128243
202208,4334650
202209,4914699
202210,4777901
202211,4849504
202212,5806910
202301,4734134
202302,4312069
202303,5388517
202304,6075594
202305,5763160
202306,4827259
202307,5140966
202308,4790067
202309,5558748
202310,6150257
202311,6432310
202312,6970940
202401,6133112
202402,5363392
202403,5861028
202404,6204314
202405,5825289
202406,4917284
202407,5483960
202408,5680414
202409,5447303
202410,5943116
202411,6002303
202412,6853753
202501,6395367
202502,5048726
202503,5877377
202504,6145290
202505,5672515
202506,4675142
202507,4891022
202508,4591454
202509,5990499
202510,5649167
202511,6415788
202512,6231253
