ym,1w_mean,2w_mean,3w_mean,4w_mean
201801,50.05714285714286,63.18571428571429,66.1,47.44
201802,48.31428571428571,57.08571428571429,44.371428571428574,64.95714285714286
201803,61.74285714285714,75.45714285714287,64.87142857142858,76.84
201804,75.24285714285715,59.31428571428571,53.05714285714286,67.43333333333334
201805,73.2,77.31428571428572,68.32857142857144,68.3
201806,67.7,77.35714285714286,75.61428571428571,81.83333333333333
201807,78.61428571428571,83.21428571428571,78.64285714285714,70.6
201808,73.1,71.4,60.042857142857144,81.99
201809,68.9,58.1,77.87142857142858,55.266666666666666
201810,67.2,54.042857142857144,60.457142857142856,61.9
201811,74.3,69.35714285714286,56.15714285714285,54.55555555555556
201812,57.957142857142856,44.800000000000004,59.08571428571429,46.31
201901,52.68571428571429,59.714285714285715,57.142857142857146,50.14
201902,57.271428571428565,38.357142857142854,68.07142857142857,58.84285714285714
201903,63.371428571428574,56.3,72.85714285714286,61.07000000000001
201904,55.3,59.542857142857144,66.02857142857142,69.8111111111111
201905,52.042857142857144,59.971428571428575,69.31428571428572,63.11
201906,73.74285714285715,69.11428571428571,77.35714285714286,71.64444444444445
201907,70.24285714285715,71.88571428571429,78.77142857142857,92.03999999999999
201908,76.34285714285714,75.08571428571429,73.32857142857142,72.13
201909,81.07142857142857,80.62857142857142,57.74285714285714,67.13333333333334
201910,77.35714285714286,56.357142857142854,65.22857142857143,62.720000000000006
201911,59.18571428571429,56.814285714285724,64.14285714285714,56.63333333333333
201912,57.32857142857142,64.55714285714285,63.58571428571429,63.370000000000005
202001,69.34285714285714,66.75714285714285,55.18571428571429,60.760000000000005
202002,53.785714285714285,65.42857142857143,68.10000000000001,70.1625
202003,60.82857142857143,56.642857142857146,61.385714285714286,49.7
202004,53.442857142857136,55.15714285714286,63.15714285714286,55.0
202005,69.01428571428572,64.51428571428572,76.12857142857142,74.32
202006,80.74285714285715,69.75714285714285,74.10000000000001,81.97777777777777
202007,77.42857142857143,77.71428571428571,76.38571428571429,84.86
202008,90.87142857142858,87.82857142857142,82.47142857142856,77.25
202009,76.21428571428571,75.81428571428572,65.68571428571428,62.06666666666667
202010,61.614285714285714,54.1,62.58571428571428,55.69
202011,57.814285714285724,57.47142857142857,75.84285714285714,56.98888888888889
202012,49.67142857142857,57.68571428571429,48.01428571428572,63.42
202101,46.471428571428575,54.699999999999996,53.57142857142857,60.56999999999999
202102,64.7,63.87142857142857,56.58571428571429,41.114285714285714
202103,67.5142857142857,67.51428571428572,58.285714285714285,66.17999999999999
202104,51.028571428571425,50.82857142857143,60.10000000000001,56.41111111111111
202105,63.42857142857143,54.771428571428565,77.39999999999999,66.85
202106,67.24285714285715,71.39999999999999,70.15714285714286,66.43333333333334
202107,70.98571428571428,73.34285714285714,63.68571428571429,56.82000000000001
202108,68.07142857142857,60.75714285714286,61.58571428571429,76.11
202109,62.714285714285715,64.52857142857142,55.528571428571425,67.28888888888889
202110,73.28571428571429,68.54285714285713,50.1,56.839999999999996
202111,66.05714285714285,64.62857142857142,70.62857142857142,54.51111111111111
202112,45.74285714285714,60.214285714285715,63.81428571428571,53.779999999999994
202201,49.128571428571426,58.228571428571435,56.05714285714286,53.010000000000005
202202,54.699999999999996,62.0,49.51428571428572,59.8
202203,55.51428571428572,75.97142857142856,65.72857142857143,61.629999999999995
202204,57.24285714285714,59.471428571428575,58.699999999999996,65.61111111111111
202205,55.857142857142854,50.614285714285714,63.471428571428575,71.65
202206,64.2,66.51428571428572,82.60000000000001,89.34444444444445
202207,76.65714285714286,81.39999999999999,82.3,76.08
202208,89.21428571428571,89.45714285714287,81.08571428571429,72.28
202209,72.2,65.44285714285714,66.5,69.92222222222222
202210,74.17142857142856,67.82857142857142,60.72857142857142,63.89
202211,56.1,73.58571428571429,67.2,59.53333333333333
202212,49.699999999999996,55.41428571428571,57.44285714285714,60.779999999999994
202301,57.871428571428574,70.92857142857143,61.17142857142857,57.56
202302,65.05714285714285,63.94285714285714,58.385714285714286,59.58571428571429
202303,59.885714285714286,64.34285714285714,54.42857142857143,51.71
202304,56.285714285714285,56.75714285714286,72.17142857142856,58.01111111111111
202305,63.785714285714285,61.98571428571428,70.05714285714285,70.85
202306,75.08571428571429,77.8,72.02857142857142,82.11111111111111
202307,82.32857142857142,90.07142857142857,85.32857142857142,80.53999999999999
202308,74.41428571428571,80.05714285714285,76.57142857142857,85.78999999999999
202309,71.24285714285715,73.02857142857142,84.11428571428571,72.24444444444445
202310,54.871428571428574,68.52857142857144,60.857142857142854,73.35
202311,78.37142857142858,57.6,66.5,61.0
202312,60.17142857142857,76.01428571428572,64.75714285714285,73.88
202401,72.91428571428571,70.14285714285714,66.01428571428572,60.870000000000005
202402,76.04285714285713,70.07142857142857,81.55714285714285,68.6875
202403,56.48571428571428,62.528571428571425,60.642857142857146,66.19
202404,50.07142857142857,60.642857142857146,75.18571428571428,69.25555555555555
202405,71.84285714285714,68.0,76.0,73.61
202406,61.199999999999996,76.77142857142857,70.85714285714286,74.28888888888889
202407,86.54285714285713,85.44285714285715,88.48571428571428,87.36
202408,81.14285714285714,78.21428571428571,77.34285714285714,74.4
202409,74.17142857142858,81.98571428571428,82.11428571428571,65.07777777777778
202410,62.74285714285714,66.98571428571428,74.07142857142857,73.26
202411,58.08571428571429,63.471428571428575,58.34285714285714,69.05555555555556
202412,63.871428571428574,49.542857142857144,57.371428571428574,56.55
202501,60.54285714285714,60.48571428571428,64.18571428571428,64.53
202502,60.614285714285714,66.4,55.385714285714286,55.84285714285714
202503,66.14285714285714,65.78571428571429,60.51428571428572,58.65
202504,72.35714285714286,72.58571428571429,78.34285714285714,59.599999999999994
202505,69.82857142857144,71.65714285714286,85.82857142857142,68.09
202506,64.98571428571428,76.55714285714285,87.71428571428571,86.16666666666667
202507,88.81428571428572,65.37142857142858,94.45714285714287,76.67
202508,82.32857142857142,83.04285714285713,88.61428571428571,83.81
202509,82.25714285714285,72.44285714285715,83.97142857142856,77.14444444444445
202510,86.0,87.24285714285715,73.78571428571429,64.95
202511,64.51428571428572,60.628571428571426,55.528571428571425,72.51111111111112
202512,57.785714285714285,66.97142857142856,69.15714285714286,61.36
