ym,1w_mean,2w_mean,3w_mean,4w_mean
201801,32.285714285714285,28.285714285714285,76.0,26.2
201802,26.428571428571427,50.42857142857143,34.42857142857143,53.57142857142857
201803,33.714285714285715,28.428571428571427,23.428571428571427,37.3
201804,38.57142857142857,38.57142857142857,42.42857142857143,32.44444444444444
201805,35.857142857142854,19.0,17.428571428571427,45.2
201806,27.142857142857142,19.0,24.285714285714285,21.88888888888889
201807,13.714285714285714,17.142857142857142,15.428571428571429,22.5
201808,23.285714285714285,20.0,25.0,18.1
201809,23.0,23.857142857142858,22.428571428571427,21.444444444444443
201810,21.428571428571427,17.714285714285715,25.0,22.3
201811,25.142857142857142,26.857142857142858,25.857142857142858,52.55555555555556
201812,41.42857142857143,26.857142857142858,41.142857142857146,29.7
201901,31.0,74.14285714285714,42.714285714285715,42.8
201902,62.285714285714285,24.285714285714285,35.0,53.42857142857143
201903,97.71428571428571,37.857142857142854,30.857142857142858,34.7
201904,48.857142857142854,29.285714285714285,37.285714285714285,29.11111111111111
201905,53.857142857142854,32.285714285714285,33.857142857142854,39.1
201906,23.428571428571427,17.857142857142858,19.285714285714285,22.333333333333332
201907,23.0,18.285714285714285,29.285714285714285,19.5
201908,25.0,25.285714285714285,24.142857142857142,21.1
201909,18.857142857142858,28.428571428571427,23.285714285714285,29.22222222222222
201910,33.57142857142857,30.8,29.857142857142858,56.9
201911,33.857142857142854,29.428571428571427,38.42857142857143,25.88888888888889
201912,25.142857142857142,42.42857142857143,28.571428571428573,31.9
202001,35.857142857142854,27.142857142857142,34.714285714285715,34.3
202002,32.857142857142854,53.142857142857146,28.571428571428573,30.5
202003,29.857142857142858,37.857142857142854,42.142857142857146,33.9
202004,42.142857142857146,37.714285714285715,36.57142857142857,44.22222222222222
202005,26.428571428571427,40.57142857142857,19.428571428571427,20.7
202006,20.571428571428573,31.0,25.0,18.333333333333332
202007,28.857142857142858,20.571428571428573,19.0,15.2
202008,22.0,19.857142857142858,24.428571428571427,20.1
202009,22.0,21.714285714285715,19.428571428571427,23.88888888888889
202010,27.0,28.0,37.42857142857143,29.1
202011,37.285714285714285,29.571428571428573,26.285714285714285,19.22222222222222
202012,24.285714285714285,34.285714285714285,22.0,42.9
202101,22.428571428571427,48.857142857142854,34.42857142857143,30.9
202102,39.714285714285715,28.428571428571427,41.857142857142854,32.0
202103,24.285714285714285,66.57142857142857,58.857142857142854,78.5
202104,33.714285714285715,33.714285714285715,51.285714285714285,44.44444444444444
202105,88.42857142857143,48.42857142857143,24.285714285714285,41.5
202106,27.714285714285715,20.428571428571427,20.714285714285715,24.0
202107,19.571428571428573,21.0,18.285714285714285,26.2
202108,16.142857142857142,24.428571428571427,18.714285714285715,24.8
202109,16.142857142857142,20.571428571428573,19.142857142857142,15.222222222222221
202110,19.142857142857142,19.857142857142858,21.285714285714285,27.5
202111,38.57142857142857,20.857142857142858,36.42857142857143,26.22222222222222
202112,19.571428571428573,36.42857142857143,46.714285714285715,21.1
202201,22.142857142857142,34.285714285714285,24.0,32.1
202202,21.571428571428573,39.42857142857143,22.333333333333332,34.57142857142857
202203,46.714285714285715,29.428571428571427,23.714285714285715,28.8
202204,31.428571428571427,30.142857142857142,39.714285714285715,37.44444444444444
202205,30.285714285714285,23.285714285714285,33.285714285714285,20.9
202206,20.428571428571427,18.714285714285715,14.0,17.555555555555557
202207,20.142857142857142,17.0,21.0,23.5
202208,17.142857142857142,17.857142857142858,19.428571428571427,17.4
202209,21.285714285714285,23.142857142857142,21.142857142857142,22.555555555555557
202210,18.428571428571427,18.142857142857142,24.285714285714285,22.2
202211,19.285714285714285,31.142857142857142,27.571428571428573,33.44444444444444
202212,22.285714285714285,58.42857142857143,23.857142857142858,23.7
202301,44.0,40.57142857142857,40.57142857142857,35.6
202302,45.0,34.857142857142854,28.428571428571427,28.142857142857142
202303,27.0,39.42857142857143,43.142857142857146,52.7
202304,44.142857142857146,117.71428571428571,68.28571428571429,31.11111111111111
202305,25.0,28.571428571428573,51.57142857142857,35.5
202306,24.571428571428573,17.0,16.285714285714285,18.444444444444443
202307,26.142857142857142,19.142857142857142,24.285714285714285,19.5
202308,21.571428571428573,19.428571428571427,21.714285714285715,16.6
202309,27.0,20.285714285714285,19.142857142857142,23.555555555555557
