지점,지점명,일시,일강수량
112,인천,2018-01-08,.9
112,인천,2018-01-09,.3
112,인천,2018-01-10,.2
112,인천,2018-01-12,0
112,인천,2018-01-13,.7
112,인천,2018-01-15,.2
112,인천,2018-01-16,0
112,인천,2018-01-22,1.6
112,인천,2018-01-30,.6
112,인천,2018-01-31,0
112,인천,2018-02-03,.3
112,인천,2018-02-11,.3
112,인천,2018-02-12,.1
112,인천,2018-02-22,1.3
112,인천,2018-02-23,3.2
112,인천,2018-02-28,21.8
112,인천,2018-03-01,1.1
112,인천,2018-03-03,.1
112,인천,2018-03-04,13.7
112,인천,2018-03-05,4.7
112,인천,2018-03-07,2.1
112,인천,2018-03-08,5.6
112,인천,2018-03-15,46.6
112,인천,2018-03-18,1
112,인천,2018-03-19,1.5
112,인천,2018-03-21,2.2
112,인천,2018-04-01,0
112,인천,2018-04-03,.1
112,인천,2018-04-04,15.1
112,인천,2018-04-05,13.1
112,인천,2018-04-06,7.3
112,인천,2018-04-08,2.4
112,인천,2018-04-10,1.9
112,인천,2018-04-14,6
112,인천,2018-04-22,15.1
112,인천,2018-04-23,49.9
112,인천,2018-04-24,1.3
112,인천,2018-04-27,0
112,인천,2018-04-30,0
112,인천,2018-05-01,0
112,인천,2018-05-02,4
112,인천,2018-05-03,.2
112,인천,2018-05-05,0
112,인천,2018-05-06,20.7
112,인천,2018-05-11,0
112,인천,2018-05-12,24.6
112,인천,2018-05-13,.1
112,인천,2018-05-16,28
112,인천,2018-05-17,53.2
112,인천,2018-05-18,6.5
112,인천,2018-05-22,13.7
112,인천,2018-05-23,5.3
112,인천,2018-05-29,2.5
112,인천,2018-05-30,.1
112,인천,2018-06-09,16.7
112,인천,2018-06-10,3.2
112,인천,2018-06-11,5.2
112,인천,2018-06-12,1.2
112,인천,2018-06-14,23.1
112,인천,2018-06-15,1.3
112,인천,2018-06-26,90.3
112,인천,2018-06-27,.2
112,인천,2018-06-28,2.4
112,인천,2018-06-29,.4
112,인천,2018-07-01,61.8
112,인천,2018-07-02,50.3
112,인천,2018-07-03,0
112,인천,2018-07-05,0
112,인천,2018-07-09,22.9
112,인천,2018-07-10,8.8
112,인천,2018-07-11,5
112,인천,2018-07-12,0
112,인천,2018-07-14,0
112,인천,2018-07-15,0
112,인천,2018-07-28,0
112,인천,2018-08-06,0
112,인천,2018-08-13,1.1
112,인천,2018-08-15,2.9
112,인천,2018-08-20,0
112,인천,2018-08-21,27.2
112,인천,2018-08-22,0
112,인천,2018-08-23,3.5
112,인천,2018-08-24,3.8
112,인천,2018-08-26,0
112,인천,2018-08-27,9.9
112,인천,2018-08-28,127.3
112,인천,2018-08-29,35.2
112,인천,2018-08-30,4
112,인천,2018-08-31,0
112,인천,2018-09-03,19.7
112,인천,2018-09-06,.2
