ym,1w_mean,2w_mean,3w_mean,4w_mean
202301,1.6,13.200000000000001,0.9333333333333332,0.8
202302,,0.1,0.15,
202303,,3.333333333,,0
202304,17.86666667,0.3,1.366666667,3.1
202305,20.6,,0.15,14.34
202306,0,3.7,17.85,10.33333333
202307,34.95,30.2,0.85,17.22
202308,7.8,34.7,0,18.8625
202309,0.066666667,22.6,12.48,8.8
202310,0.9,3.166666667,3.2,
202311,8.48,3.7,6.2,0.92
202312,1.25,7.6,6.975,3.02
202401,0.525,1.85,2.625,0
202402,2.5,0,8.82,2.44
202403,0,0,0.05,3.82
202404,0,0,8.2,3.566666667
202405,17.475,27.9,10,4.8
202406,0.1,9.9,4.4,17.48
202407,12.53333333,3.966666667,31.7,7.671428571
202408,1.35,5.55,17.25,0.3
202409,2.833333333,10.43333333,27.56666667,0.2
202410,1.15,0,17.125,2.26
202411,,0.1,1.65,11.1
202412,0.725,0,0.525,0
202501,3.466666667,0.075,0,1.78
202502,0.5,2.5,,
202503,4.14,0.2,1.25,0.15
202504,8.85,7.2,5.1,42.3
202505,9.866666667,10.36666667,6.84,0.825
202506,0,0.3,27.14,1.833333333
202507,0.233333333,4.25,34.62857143,
202508,2.825,73.63333333,12.14,3.46
202509,16,10.575,28.3,24.8
202510,9.666666667,9.857142857,7.225,0.9
202511,1.1,,0.2,3.875
