ym,1w_mean,2w_mean,3w_mean,4w_mean
202301,-1.3857142857142857,3.6,-2.8857142857142857,-4.46
202302,0.114285714,2.585714286,1.6,1.971428571
202303,6.071428571,8.385714286,6.714285714,10.2
202304,13.57142857,11.05714286,13.21428571,12.84444444
202305,16.14285714,15.95714286,19.58571429,19.68
202306,19.71428571,20.67142857,22.37142857,23.78888889
202307,25.11428571,24.47142857,25.17142857,27.26
202308,29.01428571,26.25714286,27.5,24.47
202309,26.37142857,24.38571429,22.78571429,21.28888889
202310,17.7,17.5,14.82857143,15.63
202311,15.77142857,4.942857143,5.528571429,2.566666667
202312,3.814285714,8.657142857,-5.771428571,-0.97
202401,1.471428571,-0.5,1.1,-3.27
202402,1.714285714,4.085714286,4.242857143,3.2375
202403,2.985714286,4.771428571,6.328571429,9.72
202404,12.94285714,15.08571429,14.01428571,15.83333333
202405,15.92857143,15.71428571,16.82857143,18.38
202406,20.78571429,22.27142857,23.8,23.74444444
202407,23.82857143,24.81428571,25.61428571,27.55
202408,29.05714286,29.27142857,29.61428571,27.86
202409,25.94285714,27.17142857,26.3,22.77777778
202410,17.07142857,19.02857143,17,15.42
202411,13.15714286,13.65714286,9.314285714,4.822222222
202412,3.357142857,0.885714286,-0.5,0.2
202501,0.328571429,-3.828571429,0.771428571,-0.08
202502,-5.042857143,-1.4,-0.6,1.228571429
202503,4.6,6.885714286,5.2,9.12
202504,8.885714286,9.557142857,14.41428571,14.04444444
202505,12.54285714,16.11428571,17.85714286,18.7
202506,20.12857143,21.74285714,22.42857143,23.37777778
202507,26.54285714,28.57142857,24.14285714,29.36
202508,27.84285714,26.04285714,27.57142857,28.03
202509,26.38571429,24.5,22.01428571,21.53333333
202510,20.38571429,18.81428571,15.22857143,12.6
202511,10.84285714,11.07142857,6.585714286,8.488888889
